country,name_short,partyfacts_id,name_english_x,page_id,handle,country_left,year_first,year_last,share,share_year,see_comments,data_collected,active_2010_or_after,facebook_handle_found,twitter_handle_TF,twitter_handle,D_comments,J_comments,T_comments
MLT,MLP,808,Malta Labour Party,1041925,partitlaburista,Malta,1945,9999,59.9,1947,,TRUE,TRUE,TRUE,TRUE,PL_Malta,,,
MLT,PN,699,Nationalist Party,499156,partitnazzjonalista,Malta,1926,9999,51.8,1998,,TRUE,TRUE,TRUE,TRUE,PNmalta,,,
NLD,CU,1459,ChristianUnion,1552681,ChristenUnie,Netherlands,2000,9999,4,2006,,TRUE,TRUE,TRUE,TRUE,christenunie,,,
NLD,FvD,5855,Forum for Democracy,1629327,forumvoordemocratie,Netherlands,2017,9999,1.8,2017,,TRUE,TRUE,TRUE,TRUE,fvdemocratie,,,
NLD,GL,1537,GreenLeft,672212,groenlinks,Netherlands,1989,9999,7.3,1998,,TRUE,TRUE,TRUE,TRUE,groenlinks,,,
NLD,PvdA,1234,Labour,688950,PartijvandeArbeid,Netherlands,1946,9999,33.8,1977,,TRUE,TRUE,TRUE,TRUE,PvdA,,,
NLD,PvdD,1467,Party for the Animals,891796,PartijvoordeDieren,Netherlands,2002,9999,1.9,2012,,TRUE,TRUE,TRUE,TRUE,PartijvdDieren,,,
NLD,SGP,1178,Reformed Political Party,12065160,sgpscherpenzeel,Netherlands,1918,9999,2.5,1933,,TRUE,TRUE,TRUE,TRUE,SGPScherpenzeel,,,
NLD,DENK,5856,Think,1553926,DenkNL,Netherlands,2017,9999,2.1,2017,,TRUE,TRUE,TRUE,TRUE,DenkNL,,,
NIR,APNI,3257,Alliance Party of Northern Ireland,348423,alliancepartyni,Northern Ireland,1970,9999,9.8,1975,,TRUE,TRUE,TRUE,TRUE,allianceparty,,,
NIR,DUP,667,Democratic Unionist Party,1.06E+14,democraticunionistparty,Northern Ireland,1971,9999,36,2017,,TRUE,TRUE,TRUE,,duponline,,This is also same as the party listed for UK. ,
NIR,NIC,694,Northern Ireland Conservatives,2.21E+14,niconservatives,Northern Ireland,1989,9999,4.8,1989,,TRUE,TRUE,TRUE,TRUE,NIConservative,,,
NIR,PUP,642,Progressive Unionist Party,5.6E+14,ProgressiveUnionistPartyNi ,Northern Ireland,1979,9999,2.6,1998,,TRUE,TRUE,TRUE,TRUE,officialPUP,,,
NIR,SF,1257,Sinn Fein,406525,sinnfein,Ireland,1970,9999,27.9,2017,,TRUE,TRUE,TRUE,,sinnfeinireland,,This is the same party as row 502 (Partyfacts ID: 963). Partyfacts just has the party listed both for UK and for Northern Ireland.,
NIR,SDLP,266,Social Democratic and Labour Party,1.12E+14,SocialDemocraticLabourParty,Northern Ireland,1970,9999,23.7,1975,,TRUE,TRUE,TRUE,,SDLPlive,,This is the same party as row 503 (PartyFacts ID: 762). Party facts just lists the party both for Northern Ireland and for the UK.,
