country,name_short,partyfacts_id,name_english_x,page_id,handle,country_left,year_first,year_last,share,share_year,see_comments,data_collected,active_2010_or_after,facebook_handle_found,twitter_handle_TF,twitter_handle,D_comments,J_comments,T_comments,twitter_handle_lower,author_id
AUT,GRUENE,1659,The Greens -- The Green Alternative,435967,diegruenenwien,Austria,1986,9999,12.4,2013,NA,TRUE,TRUE,TRUE,TRUE,gruenewien,NA,NA,NA,gruenewien,89035822
BEL,AGL-Gr,528,Agalev -- Green,306078,groen.be,Belgium,1979,9999,7,1999,NA,TRUE,TRUE,TRUE,TRUE,groen,NA,NA,NA,groen,8200752
BEL,CD&V,604,Christian Democrats and Flemish,326605,cdenv,Belgium,2001,9999,13.2,2003,NA,TRUE,TRUE,TRUE,TRUE,cdenv,NA,NA,NA,cdenv,15753618
BEL,VB,1968,Flemish Interest,326613,vlbelang,Belgium,2004,9999,12,2007,NA,TRUE,TRUE,TRUE,TRUE,vlbelang,NA,NA,NA,vlbelang,22473403
BEL,N-VA,36,New Flemish Alliance,334312,nieuwvlaamsealliantie,Belgium,2003,9999,20.3,2014,NA,TRUE,TRUE,TRUE,TRUE,de_NVA,NA,NA,NA,de_nva,24688336
BEL,PVV-OVLD,49,Party of Liberty and Progress -- Open Flemish Liberals and Democrats,326610,openvld,Belgium,1971,9999,15.4,2003,NA,TRUE,TRUE,TRUE,TRUE,openvld,NA,NA,NA,openvld,21994861
BEL,MR,789,Reformist Movement,326611,MRbe,Belgium,2002,9999,12.5,2007,NA,TRUE,TRUE,TRUE,TRUE,MR_officiel,NA,NA,NA,mr_officiel,102018086
BEL,PS,500,Socialist Party [Francophone],326609,psofficiel,Belgium,1978,9999,15.7,1987,NA,TRUE,TRUE,TRUE,TRUE,PSofficiel,NA,NA,NA,psofficiel,252962982
BEL,PVDA – PTB,1753,Workers' Party of Belgium,350392,pvdabelgie,Belgium,1979,9999,8.6,2019,NA,TRUE,TRUE,TRUE,TRUE,pvdabelgie,NA,This appears to be the party's FB page in French: @ptbbelgique,NA,pvdabelgie,82068939
BEL,PVDA – PTB,1753,Workers' Party of Belgium,350392,pvdabelgie,Belgium,1979,9999,8.6,2019,NA,TRUE,TRUE,TRUE,TRUE,pvdabelgie,NA,This appears to be the party's FB page in French: @ptbbelgique,NA,pvdabelgie,82068939
BGR,ABV,3187,Alternative for Bulgarian Revival,11959486,ABV.alternativa,Bulgaria,2014,9999,4.2,2014,NA,TRUE,TRUE,TRUE,TRUE,AbvOrg,NA,NA,NA,abvorg,2343294564
BGR,BSP,757,Bulgarian Socialist Party,2038644,BulgarianSocialistParty,Bulgaria,1991,9999,47.2,1990,NA,TRUE,TRUE,TRUE,TRUE,BSP_Bulgaria,NA,NA,NA,bsp_bulgaria,820968297520889900
BGR,GERB,760,Citizens for European Development of Bulgaria,7609520,PPGERB,Bulgaria,2007,9999,39.7,2009,NA,TRUE,TRUE,TRUE,TRUE,PPGERB,NA,NA,NA,ppgerb,39498671
HRV,HDZ,1431,Croatian Democratic Union,6108331,HDZ1989,Croatia,2000,9999,35.9,2007,NA,TRUE,TRUE,TRUE,TRUE,HDZ_HR,NA,NA,NA,hdz_hr,1376760751
HRV,SDP,1475,Social Democratic Party of Croatia,406134,sdphrvatske,Croatia,1990,9999,41.1,2011,NA,TRUE,TRUE,TRUE,TRUE,SDPHrvatske,NA,NA,NA,sdphrvatske,74480484
CZE,KDU/CSL,676,Christian Democratic Union / People's Party,1432111,kducsl,Czech Republic,1992,9999,14.3,2002,NA,TRUE,TRUE,TRUE,TRUE,kducsl,NA,NA,NA,kducsl,19093128
CZE,ODS,466,Civic Democratic Party,398263,ods.cz,Czech Republic,1991,9999,35.4,2006,NA,TRUE,TRUE,TRUE,TRUE,ODScz,NA,NA,NA,odscz,56410958
CZE,Pi,2047,Czech Pirate Party,905471,ceska.piratska.strana,Czech Republic,2009,9999,2.7,2013,NA,TRUE,TRUE,TRUE,TRUE,PiratskaStrana,NA,NA,NA,piratskastrana,49022430
CZE,SZ,1554,Green Party,3215963,stranazelenych,Czech Republic,1989,9999,6.3,2006,NA,TRUE,TRUE,TRUE,TRUE,zeleni_cz,NA,NA,NA,zeleni_cz,19093067
CZE,SN-VA,1707,Mayors and Independents -- Your Option,3215946,starostove,Czech Republic,2009,9999,5.2,2017,NA,TRUE,TRUE,TRUE,TRUE,STANcz,NA,NA,NA,stancz,22930997
CZE,SSO,254,Party of Free Citizens,400999,svobodni,Czech Republic,2009,9999,2.5,2013,NA,TRUE,TRUE,TRUE,TRUE,svobodni,NA,NA,NA,svobodni,18907163
CZE,VV,1202,Public Affairs,11959502,veciverejne,Czech Republic,2001,2015,10.9,2010,NA,TRUE,TRUE,TRUE,TRUE,veciverejne,NA,NA,NA,veciverejne,59741891
CZE,TOP09,223,Tradition Responsibility Prosperity 09,414108,top09cz,Czech Republic,2010,9999,16.7,2010,NA,TRUE,TRUE,TRUE,TRUE,TOP09cz,NA,NA,NA,top09cz,46538880
