author_id,twitter_handle,year,total_tweets,total_likes_tw,total_retweets,total_replies,total_tweets_rt
23770198,cdavandaag,2015,5365,1643,11110,2811,488
23770198,cdavandaag,2016,5461,5502,11569,3194,367
23770198,cdavandaag,2017,11756,13551,15123,7021,431
23770198,cdavandaag,2018,2021,19229,11410,7753,280
23770198,cdavandaag,2019,1969,26564,10018,7436,169
23770198,cdavandaag,2020,797,18006,6612,9546,276
23770198,cdavandaag,2021,684,18151,6081,8569,138
24184892,direzioneprc,2010,416,0,19,0,NA
24184892,direzioneprc,2011,921,22,223,21,NA
24184892,direzioneprc,2012,2728,338,2020,253,16
24184892,direzioneprc,2013,2245,497,2424,283,34
24184892,direzioneprc,2014,415,822,1512,174,895
24184892,direzioneprc,2015,177,792,1079,106,529
24184892,direzioneprc,2016,103,972,938,71,516
24184892,direzioneprc,2017,224,3017,2159,145,444
24184892,direzioneprc,2018,485,7100,3800,600,1711
24184892,direzioneprc,2019,358,5739,2946,264,1004
24184892,direzioneprc,2020,705,15449,5125,854,1047
24184892,direzioneprc,2021,360,9654,2837,481,572
24688336,de_NVA,2009,28,0,0,0,NA
24688336,de_NVA,2010,104,20,143,0,1
24688336,de_NVA,2011,4,1,17,1,NA
24688336,de_NVA,2012,524,137,644,172,3
24688336,de_NVA,2013,1169,637,1985,1024,113
24688336,de_NVA,2014,5810,9534,14544,6835,1986
24688336,de_NVA,2015,10532,10012,9621,10376,3958
24688336,de_NVA,2016,10992,23625,13861,11451,4344
24688336,de_NVA,2017,9170,43586,14148,13345,2455
24688336,de_NVA,2018,6852,76922,18951,16033,1789
24688336,de_NVA,2019,4388,111359,27623,18083,908
24688336,de_NVA,2020,4680,185709,34530,31646,1088
24688336,de_NVA,2021,1737,76277,12111,15581,733
25277786,LDSstranka,2010,47,4,0,0,16
25277786,LDSstranka,2011,639,22,234,302,172
25277786,LDSstranka,2012,385,60,225,282,68
25277786,LDSstranka,2013,111,19,52,58,17
25277786,LDSstranka,2014,83,46,18,38,10
25277786,LDSstranka,2015,4,1,0,1,1
25277786,LDSstranka,2016,4,3,2,0,NA
25277786,LDSstranka,2017,22,17,11,5,1
25277786,LDSstranka,2018,8,7,0,1,1
25277786,LDSstranka,2019,1,0,0,0,NA
25277786,LDSstranka,2020,2,2,0,0,NA
25310399,SocialistParty,2009,52,0,0,0,3
25310399,SocialistParty,2010,8,0,4,0,1
25310399,SocialistParty,2011,2,1,4,0,4
25310399,SocialistParty,2012,46,2,34,10,9
25310399,SocialistParty,2014,95,30,72,6,23
25310399,SocialistParty,2015,37,174,222,17,64
25310399,SocialistParty,2016,45,215,137,45,32
25310399,SocialistParty,2017,71,1279,1331,59,60
25310399,SocialistParty,2018,22,201,144,30,4
25310399,SocialistParty,2019,422,2129,1128,265,53
25310399,SocialistParty,2020,1054,8648,3657,628,1020
25310399,SocialistParty,2021,475,6895,1814,364,690
25371310,EnglishDemocrat,2010,9,0,1,0,NA
25371310,EnglishDemocrat,2011,436,3,36,2,4
25371310,EnglishDemocrat,2012,161,1,26,20,NA
25371310,EnglishDemocrat,2013,685,11,88,22,1
